date,open,high,low,close,volume,ticker,return,short_term_return_3,sma_10,sma_20,ema_50,volatility_10,open_sector,high_sector,low_sector,sector_close,volume_sector,return_sector,short_term_return_3_sector,sector_sma_10,sector_sma_20,ema_50_sector,sector_volatility_10,sector_return_1d,vix_level,vix_change_1d,vix_ma_10,vix_zscore_10,pe_ratio,eps,revenue_growth,debt_to_equity,roe,future_return_3d,used_fallback,news_sentiment,sentiment_quality,pct_pred_xgboost,pct_pred_lightgbm,pct_pred_catboost,pct_pred_ensemble,pct_pred,direction,confidence,label,price_1d,price_3d,price_5d
2025-05-16,212.32,212.57,209.77,211.477,38179884,AAPL,0.00012768976117283337,-0.006823838820269601,204.8647,205.81585,210.70538371281927,0.02364206638457913,235.21,235.21,232.89,234.75,3503379.0,0.001279590531030106,0.009156564353881791,224.406,214.66,214.72719887352432,0.01594047845582897,0.001279590531030106,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,-0.006823838820269601,False,0.06872105263157895,Fresh,-0.03683881,-1.1069939059301397,-1.284748184163403,-0.0570371682660135,-0.0570371682660135,Down,0.5,Avoid,211.35637950766608,211.11534487929706,210.87458513116678
2025-05-16,452.355,453.45,448.7369,452.67,15423039,MSFT,-0.0010151612120141706,0.007859464754864876,443.687,417.8745,409.14719056917005,0.00859450546657006,235.21,235.21,232.89,234.75,3503379.0,0.001279590531030106,0.009156564353881791,224.406,214.66,214.72719887352432,0.01594047845582897,0.001279590531030106,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,0.007859464754864876,False,0.2814,Fresh,-0.23069151,-0.5084503719940956,-0.2434056442013618,-0.23092397214011118,-0.23092397214011118,Down,0.25,Avoid,451.6246764553134,449.5412654996136,447.4674656246111
2025-05-16,167.655,169.34,165.62,166.22,35368110,GOOGL,0.013783849719443797,0.041935686077853696,159.939,159.001,162.17251059942288,0.03124573326998835,101.47,101.825,100.83,101.67,3620031.0,0.005737461667820742,0.014974543276430108,99.041,96.4025,96.58896703867835,0.007141791248126868,0.005737461667820742,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,0.041935686077853696,False,0.33958888888888894,Fresh,0.44788286,2.375810715375507,1.093549091547787,0.4584708791335978,0.4584708791335978,Up,0.85,Buy,166.98207029529587,168.51670851541326,170.0654507316212
2025-05-16,206.85,206.85,204.374,205.44,32019625,AMZN,0.0013159818686943048,-0.02805506930974122,198.608,191.12,195.19516702627251,0.02940462076295013,216.36,217.62,215.78,217.48,2478063.0,0.008579511199740208,0.01021924934968399,207.675,200.95850000000002,202.45232128577763,0.01679741914323794,0.008579511199740208,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,-0.02805506930974122,False,0.5894266666666667,Fresh,-1.1959453,-1.2453294972422881,-1.5749769543749885,-1.2020525542491458,-1.2020525542491458,Down,0.1,Avoid,202.97050323255056,198.12020681948118,193.38581579620964
2025-05-16,637.525,640.4388,626.15,638.73,15303699,META,-0.007998384792197277,-0.026370745240309024,621.1320000000001,580.9680000000001,590.8276937511636,0.029520047301101467,101.47,101.825,100.83,101.67,3620031.0,0.005737461667820742,0.014974543276430108,99.041,96.4025,96.58896703867835,0.007141791248126868,0.005737461667820742,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,-0.026370745240309024,False,0.36459090909090913,Fresh,-0.6307056,0.022896721695047362,0.8598853227055249,-0.6066417234413536,-0.6066417234413536,Down,0.15,Avoid,634.855197319863,627.1759678706319,619.5896266346231
2025-05-16,136.25,136.31,133.46,135.2499,181314448,NVDA,0.003114292071497271,0.04094435465250501,123.67899,115.275995,116.89874259669006,0.025868114871589687,235.21,235.21,232.89,234.75,3503379.0,0.001279590531030106,0.009156564353881791,224.406,214.66,214.72719887352432,0.01594047845582897,0.001279590531030106,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,0.04094435465250501,False,0.32261,Fresh,0.45350245,1.1624911120116357,-0.9292889700985186,0.4313103937999301,0.4313103937999301,Up,0.8,Buy,135.833246876304,137.0074995879638,138.19190349207867
2025-05-16,346.065,351.62,342.33,348.22,80669395,TSLA,0.015751706434863788,0.042356392372856044,310.608,289.7275,290.14864610779887,0.03200727719237323,216.36,217.62,215.78,217.48,2478063.0,0.008579511199740208,0.01021924934968399,207.675,200.95850000000002,202.45232128577763,0.01679741914323794,0.008579511199740208,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,0.042356392372856044,False,0.40262000000000003,Fresh,-0.24428241,0.8103935840576407,1.748602468492434,-0.21209149456356943,-0.21209149456356943,Down,0.3,Avoid,347.48145499763075,346.0090608441105,344.5429057128809
2025-05-16,267.5,268.4593,264.71,267.455,6574773,JPM,-0.00013084601293511522,0.016900498079921,258.1395,250.34324999999998,247.68824745133492,0.011252665827068006,51.27,51.6671,51.16,51.62,44861372.0,0.006630265210608277,0.01057165231010182,50.356,49.2235,49.130499613233,0.007910188232721682,0.006630265210608277,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,0.016900498079921,False,0.27230000000000004,Fresh,0.14738381,-0.1206649392127052,0.24184973510490596,0.14887791027283814,0.14887791027283814,Up,0.75,Buy,267.85318141492024,268.65132353982403,269.4518439484137
2025-05-16,44.34,44.79,43.655,44.69,40244739,BAC,0.006985128436232335,0.009259259259259078,42.773,41.09400000000001,41.30478086291929,0.013706393938998182,51.27,51.6671,51.16,51.62,44861372.0,0.006630265210608277,0.01057165231010182,50.356,49.2235,49.130499613233,0.007910188232721682,0.006630265210608277,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,0.009259259259259078,False,0.42616666666666664,Fresh,-0.5674999,-0.38528972554232166,-1.214295079223429,-0.5778950757555892,-0.5778950757555892,Down,0.2,Avoid,44.43173869064483,43.91968488513762,43.41353224639681
2025-05-16,362.95,366.19,360.95,365.19,3861159,V,0.007976814794369291,0.025411355085078968,354.594,345.8585,342.6261014077799,0.0053696045149817144,51.27,51.6671,51.16,51.62,44861372.0,0.006630265210608277,0.01057165231010182,50.356,49.2235,49.130499613233,0.007910188232721682,0.006630265210608277,17.44,-0.02187324733595053,20.683,-1.1423562200397956,0.0,0.0,0.0,0.0,0.0,0.025411355085078968,False,0.6705,Fresh,0.12472123,0.24177579036613764,0.5608103185810692,0.13175396708540052,0.13175396708540052,Up,0.7,Buy,365.67115231239916,366.6353595842129,367.6021092924676
