date,w_xgboost,w_lightgbm,w_catboost
2025-05-16,0.9838,0.0001,0.0162
2025-05-19,0.9692,0.0,0.0307
2025-05-19,0.9994,0.0,0.0005
2025-05-19,0.9979,0.0,0.0021
