date,open,high,low,close,volume,ticker,return,short_term_return_3,sma_10,sma_20,ema_50,volatility_10,open_sector,high_sector,low_sector,sector_close,volume_sector,return_sector,short_term_return_3_sector,sector_sma_10,sector_sma_20,ema_50_sector,sector_volatility_10,sector_return_1d,vix_level,pe_ratio,eps,revenue_growth,debt_to_equity,roe,used_fallback,news_sentiment,pct_pred,direction,confidence,label,price_1d,price_3d,price_5d,forecast_date,pct_pred_xgboost,pct_pred_lightgbm,pct_pred_catboost,pct_pred_ensemble
2025-05-02,206.09,206.99,202.16,205.35,99547217,AAPL,-0.0373617101068817,-0.0277448984423086,206.767,199.663,213.19834564809352,0.0205153452223573,215.49,217.62,214.91,216.61,4054658.0,0.0167096925604317,0.0359158297465329,204.914,198.955,209.504228838357,0.0177991296416743,0.0167096925604317,,15.0,2.0,0.05,1.0,0.1,False,0.29264375,-0.73916442214723,Down,0.1,Avoid,203.83212585912065,200.82995340304385,197.8719989004325,2025-05-04,,,,
2025-05-05,206.09,206.09,198.22,198.53,21005565,AAPL,-0.0332115899683467,-0.0657411764705881,207.304,200.1705,212.6175741949241,0.0226476756297545,214.75,216.3367,214.64,216.05,952915.0,-0.0025852915377868,0.0289565175977521,207.731,200.639,209.80997052742052,0.0132821811380429,-0.0025852915377868,,15.0,2.0,0.05,1.0,0.1,False,0.06277,-1.7928129625468676,Down,0.05,Avoid,194.9707284254557,188.04247450949663,181.36041499775223,2025-05-05,,,,
2025-05-06,198.125,200.649,197.02,199.735,37293792,AAPL,0.0042485796168738,-0.0636836677292329,207.3395,201.10225,212.1620774802388,0.0195758387739079,,,,,,,,,,,,,24.76,,,,,,False,0.0255142857142857,-1.283978259829367,Down,0.2,Avoid,197.17044602272983,192.13970022236597,187.23731241793092,2025-05-06,-1.3590959,1.5646268764265372,-4.057465724861476,-1.283978259829367
2025-05-06,198.21,200.65,197.02,198.51,49351577,AAPL,-0.001910603851375,-0.0694262141383836,207.217,201.041,212.1099292496229,0.0195301695847388,212.26,215.24,211.61,213.67,3979076.0,-0.0083078065534206,0.0029101149964796,209.793,202.12,209.96795954348576,0.0147591084180467,-0.0083078065534206,24.76,,,,,,False,0.1201937499999999,-0.1968812588824542,Down,0.3,Avoid,198.11917101299244,197.3398199311261,196.56353462076336,2025-05-07,0.4590011,-0.0596234172075676,-0.9900214535426546,-0.1968812588824542
2025-05-08,197.72,200.05,194.68,197.49,48463340,AAPL,0.0063184713375796,-0.0070390668208556,205.294,202.1645,210.9183048364937,0.0163287992404553,217.95,219.94,216.01,217.87,4346536.0,0.0095454334831563,0.0111853708344935,212.814,204.6245,210.4880131962171,0.0087681058142209,0.0095454334831563,22.48,,,,,,False,0.3478,-4.445869638839272,Down,0.05,Avoid,188.70985205025636,172.30326331965318,157.32307681898484,2025-05-09,-3.6812263,-5.195253200997634,-4.461129462010662,-4.445869638839272
2025-05-09,199.0,200.54,197.54,198.53,36453923,AAPL,0.0052660894222491,0.0001007505919097,204.219,202.57,210.4324889605528,0.0163898363652664,218.84,219.24,216.48,217.6,3665223.0,-0.0012392711249827,0.0183928487855105,213.727,205.786,210.7691922609004,0.008426052040617,-0.0012392711249827,21.9,,,,,,False,0.3432588235294118,-3.4090260680125613,Down,0.1,Avoid,191.76206054717463,178.9104787692609,166.9201891245414,2025-05-11,-3.0743136,-3.448194478978249,-3.704570084464952,-3.4090260680125613
2025-05-12,210.97,211.27,206.75,210.79,63194870,AAPL,0.0617538910995818,0.0740891719745222,204.284,203.202,210.47776199533791,0.0268207458217156,226.83,227.78,224.54,227.7,6732705.0,0.0464154411764705,0.0550947592789954,215.68400000000003,207.2535,211.4205984456536,0.015434615834621,0.0464154411764705,18.39,,,,,,False,0.2266739130434782,-0.7071668027839321,Down,0.25,Avoid,209.29936309641172,206.3496386127332,203.44148556243545,2025-05-13,-0.345089,-0.2278339487060232,-1.548577471103216,-0.7071668027839321
2025-05-13,210.43,213.4,209.0,212.93,51909332,AAPL,0.0101522842639594,0.0781811737303155,204.456,203.72250000000005,210.548483906842,0.0269616924985415,228.52,233.38,228.26,232.62,6365028.0,0.0216073781291172,0.0677009225685041,218.036,208.8765,212.20595816681023,0.0158147908020174,0.0216073781291172,18.22,,,,,,False,0.5220529411764706,-1.536229110919896,Down,0.25,Avoid,209.65890735411827,203.2667045169428,197.0693908816012,2025-05-14,-0.74913234,-1.157081189505383,-2.7024738080683006,-1.536229110919896
2025-05-02,191.44,192.88,186.4,189.98,77533090,AMZN,-0.0011566771819138,0.0138214419125888,183.632,180.954,193.04182703926023,0.0248503305223308,200.45,202.58,199.14,201.43,3724511.0,0.0155281068817747,0.0118551263374693,194.242,190.2075,199.36474627798648,0.0170701419772192,0.0155281068817747,,15.0,2.0,0.05,1.0,0.1,False,0.5634842105263158,-0.1947010231137817,Down,0.25,Avoid,189.6101069962884,188.8724801430448,188.1377228276293,2025-05-04,,,,
2025-05-05,191.49,187.88,185.53,187.645,10977480,AMZN,-0.012290767449205,0.0174872573473594,185.6645,181.78625,192.8878105845728,0.0220407076370727,199.81,200.0,198.62,199.76,582217.0,-0.0082907213424019,0.0126736287133732,196.173,191.056,199.42951896685148,0.0134706119917372,-0.0082907213424019,,15.0,2.0,0.05,1.0,0.1,False,0.5995133333333332,-0.3178569906866773,Down,0.2,Avoid,187.048557249826,185.86135322836452,184.6816844341687,2025-05-05,,,,
