date,open,high,low,close,volume,date,ticker,return,short_term_return_3,sma_10,sma_20,ema_50,volatility_10,used_fallback,news_sentiment,daily_sentiment,pct_pred,direction,confidence,label,price_1d,price_3d,price_5d
2025-04-24,204.88499450683597,206.71499633789065,202.94000244140625,205.6824951171875,15453139,2025-04-24,AAPL,0.0052907574847491645,0.0648296294142936,198.76625061035153,202.1461265563965,213.91622643484072,0.029173668802760788,False,0.05623999999999998,0.05623999999999998,0.3076138,Up,0.75,Buy,206.31521472769964,207.58648953358352,208.8656105039845
2025-04-24,375.989990234375,384.510009765625,375.1900024414063,382.8250122070313,6063834,2025-04-24,MSFT,0.022529974701687827,0.06600862500599125,376.5885040283203,375.54225006103513,387.4772165959923,0.021829389286249057,False,0.6257714285714285,0.6257714285714285,0.110334136,Up,0.45,Watch,383.24737614249904,384.09351873866405,384.94148678673815
2025-04-24,156.15499877929688,158.47999572753906,155.8000030517578,157.82000732421875,12092074,2025-04-24,GOOGL,0.015899588823043098,0.06873440293309341,154.21400299072266,153.69700241088867,163.46650873191007,0.024256444457866993,False,0.5953633333333334,0.5953633333333334,0.15781106,Up,0.65,Buy,158.0690619059751,158.56835632697766,159.06921227768908
2025-04-24,180.9250030517578,185.17999267578125,180.17999267578125,184.1000061035156,18218796,2025-04-24,AMZN,0.01937984430628359,0.10028686376269369,177.99400024414064,181.94449996948242,194.15966655858966,0.03112183979789328,False,0.47244444444444444,0.47244444444444444,0.44675744,Up,0.9,Buy,184.92249249562516,186.57850433460405,188.24935196089424
2025-04-24,518.72998046875,531.719970703125,517.5,527.6849975585938,5539327,2025-04-24,META,0.01425217242774135,0.08877355996241887,517.9545013427735,537.6987518310547,577.7580345889381,0.03292600957074535,False,0.2495125,0.2495125,0.3136209,Up,0.85,Buy,529.3399010796275,532.6653085502039,536.0116004653974
2025-04-24,103.4749984741211,105.87000274658205,103.11000061035156,105.13929748535156,102557395,2025-04-24,NVDA,0.023652014628886997,0.08491686629106732,105.10392913818359,105.27346458435059,113.70084637247462,0.039619024255930925,False,0.26605,0.26605,0.08276861,Up,0.35,Watch,105.22631813793669,105.4005725139832,105.5751276959727
2025-04-24,250.6000061035156,258.1494140625,249.1999969482422,252.6999053955078,51454787,2025-04-24,TSLA,0.007816462708010619,0.11076881492530899,246.29999084472655,252.2059951782227,275.4838143192133,0.0417765660462119,False,0.09312499999999999,0.09312499999999999,0.73903286,Up,1.0,Buy,254.56745369851524,258.3440614193223,262.17670010784605
2025-04-24,239.7400054931641,242.97999572753903,237.5800018310547,242.3625946044922,3582533,2025-04-24,JPM,0.0061548891216642865,0.0583981343750275,234.05526123046874,233.1009407043457,239.87064133728276,0.022059560453541165,False,0.0,0.0,0.119527034,Up,0.5,Buy,242.6522934122204,243.23273113509458,243.81455566785917
2025-04-24,38.65999984741211,39.48500061035156,38.595001220703125,39.38999938964844,19977247,2025-04-24,BAC,0.01651611328124991,0.06690144483215943,37.457999801635744,38.141500091552736,40.46788857702034,0.023261456663027383,False,0.03554999999999997,0.03554999999999997,0.025590017,Up,0.15,Watch,39.4000809584486,39.420253487356604,39.44043071191845
2025-04-24,333.2799987792969,336.42999267578125,331.25,334.9100036621094,1754916,2025-04-24,V,0.0016150029990957826,0.046266783118412036,331.0719940185547,332.6054962158203,334.5653641774285,0.020211564820243624,False,0.54725,0.54725,0.13491374,Up,0.55,Buy,335.3618279113107,336.2673129313589,337.1752333388067
2025-04-24,528.6900024414062,533.5399780273438,525.5399780273438,531.3099975585938,775300,2025-04-24,MA,0.002452760832844625,0.04317519421611249,516.7660064697266,520.177653503418,529.5794638701785,0.01845593861010095,False,0.31765,0.31765,0.10702233,Up,0.4,Watch,531.878637928734,533.0177554445472,534.1592797696794
2025-04-24,155.8000030517578,155.89500427246094,153.6300048828125,154.5500030517578,2715730,2025-04-24,JNJ,-0.005341754440545077,-0.015103206378041634,154.43800048828126,155.5160011291504,156.84308696955463,0.013917679971784365,False,0.534025,0.534025,0.06867102,Up,0.3,Watch,154.65614254088177,154.86864260468246,155.08143744922018
2025-04-24,427.5700073242188,429.8999938964844,424.2999877929688,426.75,2687340,2025-04-24,UNH,-0.002827347133464775,0.0033386158337394,511.0889953613281,521.724496459961,511.46797825614766,0.07305597463218105,False,0.3468,0.3468,0.15648839,Up,0.6,Buy,427.41780415177345,428.75656655430794,430.0995005071163
2025-04-24,22.399999618530277,22.795000076293945,22.229999542236328,22.7450008392334,15659832,2025-04-24,PFE,0.015855357716047402,0.03198729103542708,22.194500350952147,23.048250198364258,24.287183039542796,0.01899870036044443,False,0.6159857142857142,0.6159857142857142,0.012313973,Up,0.05,Watch,22.747801731332174,22.753403515529726,22.75900801114267
2025-04-24,73.0199966430664,73.42500305175781,72.55000305175781,72.93499755859375,7264323,2025-04-24,KO,-0.00497961088632326,0.0022674305776961834,72.40849990844727,71.49325027465821,69.85693809686227,0.010549274635950257,False,0.65415,0.65415,0.0348191,Up,0.2,Watch,72.96039427851065,73.01121380193217,73.06206810347066
2025-04-24,160.5,160.9550018310547,156.58999633789062,157.07000732421875,8429682,2025-04-24,PG,-0.052253596974426886,-0.05236797994438158,165.5293762207031,165.46419525146484,166.30484982062177,0.02352672343641278,False,0.11321764705882352,0.11321764705882352,0.26926863,Up,0.7,Buy,157.4929496437835,158.34226081224188,159.19614068647206
