Date,Open,High,Low,Close,Volume,date,ticker,return,Short_Term_Return_3,SMA_10,SMA_20,EMA_50,Volatility_10,MACD_new,MACD_signal,MACD_hist,BB_width,RSI,used_fallback,news_sentiment,daily_sentiment,pct_pred,direction,price_1d,price_3d,price_5d
2025-04-23,206.0,208.0,202.7989959716797,204.6000061035156,52803354,2025-04-23,AAPL,0.024331633507028494,0.03868418388289796,198.08300170898434,202.93850173950196,214.25229720560642,0.05560114980586918,-6.0426745224995955,-7.505956470369261,1.4632819478696657,59.79142108877954,42.26233779810486,False,0.02772666666666667,0.02772666666666667,-3.7216837,Down,196.98543996745317,182.59592887086907,169.25755094954363
2025-04-23,376.2999877929688,380.3900146484375,373.0299987792969,374.3900146484375,20501048,2025-04-23,MSFT,0.020636844155362155,0.017972744279406205,377.35500183105466,375.8994995117188,387.6671024894192,0.03902620087536422,-5.157307655464024,-5.127467618902396,-0.029840036561627592,47.117934660281776,46.88379665555912,False,0.3525,0.3525,-0.7174869,Down,371.70382263521606,366.3891238759752,361.15040899867745
2025-04-23,155.61000061035156,157.52499389648438,153.80999755859375,155.35000610351562,30708238,2025-04-23,GOOGL,0.025615665488501804,0.02771898875295231,154.3030029296875,154.05900192260742,163.69697817712196,0.03917215885605414,-3.6400105281623496,-4.383423720478698,0.7434131923163481,21.540492651824707,48.58861960102874,False,0.2984894736842105,0.2984894736842105,-0.5943028,Down,154.42676096805553,152.59669719547855,150.78831936378083
2025-04-23,183.44000244140625,187.3800048828125,180.1999969482422,180.6000061035156,62152533,2025-04-23,AMZN,0.042845673527805994,0.04628935441116533,178.6940002441406,182.79599990844727,194.57026494451105,0.04982060256476569,-6.9177090388849365,-7.203014002672593,0.2853049637876568,41.63595569091069,42.191145507532326,False,0.48428,0.48428,-3.1796138,Down,174.85761989021736,163.9148019754593,153.65679556865868
2025-04-23,528.5250244140625,535.3375854492188,516.5349731445312,520.27001953125,18115560,2025-04-23,META,0.039957665308886225,0.03746910770773293,523.7630035400391,541.8635009765625,579.8018321333333,0.059803221698071146,-28.056418241617052,-27.432957873592848,-0.6234603680242046,155.86563590322947,39.68434443086833,False,0.02650333333333333,0.02650333333333333,-3.904296,Down,499.9571433404926,461.67966180611984,426.3327354595531
2025-04-23,104.52010345458984,104.8000030517578,102.0199966430664,102.70999908447266,244439594,2025-04-23,NVDA,0.0386287766043214,0.01202090103835407,106.0229995727539,105.70449981689453,114.05029734745922,0.07336425065682349,-3.9394630287981016,-3.852322797534795,-0.0871402312633065,25.719642162555687,44.6256793783909,False,0.43775555555555556,0.43775555555555556,5.008971,Up,107.85471386257541,118.9301461013747,131.14288546967146
2025-04-23,254.8600006103516,259.44000244140625,244.42999267578125,250.7400054931641,147940245,2025-04-23,TSLA,0.05366224400956132,0.03882011254724249,248.2500015258789,253.173999786377,276.413769785487,0.08513161082459465,-9.126115253111294,-10.035356357202419,0.9092411040911248,66.84976989409438,41.240836944125626,False,0.05432758620689655,0.05432758620689655,-3.9177399,Down,240.91665955003558,222.40945475024276,205.32396349592457
2025-04-23,240.22000122070312,246.7899932861328,240.0,240.8800048828125,11483136,2025-04-23,JPM,0.022454300382664494,0.03845489701139959,233.25300140380858,233.45747299194335,239.7689289590293,0.032902557619042476,-2.1203804639609416,-3.7633668497684445,1.642986385807503,42.5708810027574,48.25121915562296,False,0.9584,0.9584,-0.68236107,Down,239.23633624082868,235.9825669487982,232.77306203621265
2025-04-23,39.40499877929688,40.119998931884766,38.66999816894531,38.75,54395816,2025-04-23,BAC,0.011221302416499324,0.03581930387739862,37.234000015258786,38.31300010681152,40.511884054055926,0.028921176382570673,-1.0884483955983768,-1.4123659994395263,0.32391760384114954,10.694109853475723,41.30191954891566,False,-0.28746666666666665,-0.28746666666666665,5.765956,Up,40.98430588841438,45.84683358669281,51.286268532276154
2025-04-23,337.239990234375,341.1499938964844,333.20001220703125,334.3699951171875,8904789,2025-04-23,V,0.008961983329519363,0.014441339695907551,330.82399291992186,333.0689956665039,334.5512972596864,0.03177143481524018,-2.7179231594359408,-3.2522288364065437,0.5343056769706029,49.506868347789805,44.6232730966506,False,0.43837499999999996,0.43837499999999996,0.042342708,Up,334.51157787116244,334.79494267916016,335.0785067872057
2025-04-23,537.739990234375,543.8192138671875,527.9249877929688,530.010009765625,3048562,2025-04-23,MA,0.005082192533949037,0.02451045223919257,515.1780059814453,521.0221786499023,529.5088297037671,0.02941135055847489,-4.977050889463612,-7.759703072841624,2.782652183378012,90.0105063923645,45.26595683215427,False,0.1497,0.1497,-0.2536664,Down,528.6655575039622,525.986888483545,523.3217720271641
2025-04-23,156.49000549316406,157.10000610351562,154.3300018310547,155.3800048828125,7350278,2025-04-23,JNJ,-0.015023740837955657,-0.013272345981387157,154.0800003051758,155.87450103759767,156.93668223150553,0.013683698485531954,-1.195934058070634,-1.6742510245540116,0.47831696648337774,19.483496525359328,50.0317125195996,False,0.33499999999999996,0.33499999999999996,0.18629366,Up,155.66945974067494,156.24998093477916,156.8326878122025
2025-04-23,427.0700073242188,438.8500061035156,423.75,427.9599914550781,7092789,2025-04-23,UNH,0.0018259253538797093,-0.057585155006533495,526.2639953613282,526.2969970703125,514.9258548124203,0.07641583855374692,-12.846602518897498,4.987719697836026,-17.834322216733526,223.4141840099178,33.431898097433546,False,0.06854999999999999,0.06854999999999999,-4.0299425,Down,410.71345390423085,378.27745296733883,348.40305690350215
