date,open,close,volume,ticker
2025-05-01,209.01,212.23,22629765,AAPL
2025-04-30,209.3,212.5,50296791,AAPL
2025-04-29,208.69,211.21,36827633,AAPL
2025-04-28,210.0,210.14,38743100,AAPL
2025-04-25,206.37,209.28,38222300,AAPL
2025-04-24,204.89,208.37,47311000,AAPL
2025-04-23,206.0,204.6,52929200,AAPL
2025-04-22,196.12,199.74,52976400,AAPL
2025-04-21,193.27,193.16,46742537,AAPL
2025-04-17,197.2,196.98,52164675,AAPL
2025-04-16,198.36,194.27,59732423,AAPL
2025-04-15,201.86,202.14,51343900,AAPL
2025-04-14,211.44,202.52,101352911,AAPL
2025-04-11,186.1,198.15,87435915,AAPL
2025-04-10,189.07,190.42,121880000,AAPL
2025-04-09,171.95,198.85,184395900,AAPL
2025-04-08,186.7,172.42,120859500,AAPL
2025-04-07,177.2,181.46,160466300,AAPL
2025-04-04,193.89,188.38,125910913,AAPL
2025-04-03,205.54,203.19,103419006,AAPL
2025-04-02,221.32,223.89,35905904,AAPL
2025-04-01,219.81,223.19,36412740,AAPL
2025-03-31,217.01,222.13,65299321,AAPL
2025-03-28,221.67,217.9,39818617,AAPL
2025-03-27,221.39,223.85,37094800,AAPL
2025-03-26,223.51,221.53,34532700,AAPL
2025-03-25,220.77,223.75,34493600,AAPL
2025-03-24,221.0,220.73,44299500,AAPL
2025-03-21,211.56,218.27,94127800,AAPL
2025-03-20,213.99,214.1,48862947,AAPL
2025-03-19,214.22,215.24,54385400,AAPL
2025-03-18,214.16,212.69,42432426,AAPL
2025-03-17,213.31,214.0,48073426,AAPL
2025-03-14,211.25,213.49,60107600,AAPL
2025-03-13,215.95,209.68,61368330,AAPL
2025-03-12,220.14,216.98,62547500,AAPL
2025-03-11,223.81,220.84,76137410,AAPL
2025-03-10,235.54,227.48,72071200,AAPL
2025-03-07,235.11,239.07,46273600,AAPL
2025-03-06,234.44,235.33,45170419,AAPL
2025-03-05,235.42,235.74,47227643,AAPL
2025-03-04,237.71,235.93,53798100,AAPL
2025-03-03,241.79,238.03,47184000,AAPL
2025-02-28,236.95,241.84,56833400,AAPL
2025-02-27,239.41,237.3,41153639,AAPL
2025-02-26,244.33,240.36,44433600,AAPL
2025-02-25,248.0,247.04,48013300,AAPL
2025-02-24,244.93,247.1,51326400,AAPL
2025-02-21,245.95,245.55,53197431,AAPL
2025-02-20,244.94,245.83,32316907,AAPL
2025-02-19,244.66,244.87,32204215,AAPL
2025-02-18,244.15,244.47,48822500,AAPL
2025-02-14,241.25,244.6,40896227,AAPL
2025-02-13,236.91,241.53,53614100,AAPL
2025-02-12,231.2,236.87,45243300,AAPL
2025-02-11,228.2,232.62,53718400,AAPL
2025-02-10,229.57,227.65,33115645,AAPL
2025-02-07,232.6,227.63,39707224,AAPL
2025-02-06,231.29,233.22,29925349,AAPL
2025-02-05,228.53,232.47,39664989,AAPL
2025-05-01,431.11,427.8901,38183194,MSFT
2025-04-30,390.3,395.26,34124436,MSFT
2025-04-29,391.3,394.04,14974000,MSFT
2025-04-28,391.96,391.16,16579430,MSFT
2025-04-25,387.0,391.85,18973200,MSFT
2025-04-24,375.7,387.3,22232300,MSFT
2025-04-23,376.06,374.39,20545526,MSFT
2025-04-22,363.38,366.82,19485000,MSFT
2025-04-21,362.82,359.12,20807300,MSFT
2025-04-17,373.75,367.78,21120192,MSFT
2025-04-16,380.67,371.61,21967826,MSFT
2025-04-15,388.51,385.73,17199900,MSFT
2025-04-14,393.22,387.81,19251200,MSFT
2025-04-11,380.64,388.45,23839220,MSFT
2025-04-10,382.06,381.35,38024400,MSFT
2025-04-09,353.54,390.49,50199700,MSFT
2025-04-08,368.26,354.56,35868918,MSFT
2025-04-07,350.88,357.86,50425000,MSFT
2025-04-04,364.13,359.84,49209900,MSFT
2025-04-03,374.79,373.11,30198000,MSFT
2025-04-02,377.97,382.14,16092600,MSFT
2025-04-01,374.65,382.19,19689503,MSFT
2025-03-31,372.54,375.39,35184700,MSFT
2025-03-28,388.08,378.8,21632016,MSFT
2025-03-27,390.13,390.58,13766800,MSFT
2025-03-26,395.0,389.97,16132906,MSFT
2025-03-25,393.92,395.16,15775000,MSFT
2025-03-24,395.4,393.08,21004548,MSFT
2025-03-21,383.22,391.26,39675928,MSFT
2025-03-20,385.74,386.84,18470542,MSFT
2025-03-19,385.53,387.82,19185532,MSFT
2025-03-18,387.07,383.52,19486900,MSFT
2025-03-17,386.7,388.7,22474300,MSFT
2025-03-14,379.78,388.56,19952846,MSFT
2025-03-13,383.16,378.77,20473017,MSFT
2025-03-12,382.95,383.27,24253600,MSFT
2025-03-11,379.0,380.45,30380200,MSFT
2025-03-10,385.84,380.16,32840134,MSFT
2025-03-07,392.32,393.31,22034100,MSFT
2025-03-06,394.28,396.89,23304625,MSFT
2025-03-05,389.34,401.02,23433132,MSFT
2025-03-04,383.4,388.61,29342923,MSFT
2025-03-03,398.82,388.49,23007726,MSFT
2025-02-28,392.66,396.99,32845700,MSFT
2025-02-27,401.27,392.53,21127406,MSFT
2025-02-26,398.01,399.73,19619000,MSFT
2025-02-25,401.1,397.9,29387402,MSFT
2025-02-24,408.51,404.0,26443700,MSFT
2025-02-21,417.34,408.21,27524800,MSFT
2025-02-20,415.29,416.13,23508728,MSFT
2025-02-19,407.88,414.77,24114200,MSFT
2025-02-18,408.0,409.64,21423100,MSFT
2025-02-14,407.79,408.43,22758500,MSFT
2025-02-13,407.0,410.54,23891731,MSFT
2025-02-12,407.21,409.04,19121734,MSFT
2025-02-11,409.64,411.44,18140600,MSFT
2025-02-10,413.71,412.22,20817919,MSFT
2025-02-07,416.48,409.75,22886844,MSFT
2025-02-06,414.0,415.82,16309800,MSFT
2025-02-05,412.35,413.29,16336188,MSFT
2025-05-01,160.45,160.38,13586649,GOOGL
2025-04-30,157.98,158.8,33702512,GOOGL
2025-04-29,160.32,160.16,26809000,GOOGL
2025-04-28,162.43,160.61,29745800,GOOGL
2025-04-25,165.07,161.96,56034000,GOOGL
2025-04-24,156.15,159.28,45894000,GOOGL
2025-04-23,155.61,155.35,31128833,GOOGL
2025-04-22,148.89,151.47,26971800,GOOGL
2025-04-21,148.88,147.67,26049115,GOOGL
2025-04-17,154.29,151.16,33046576,GOOGL
2025-04-16,153.1,153.33,28187421,GOOGL
2025-04-15,159.13,156.31,27551534,GOOGL
2025-04-14,160.0,159.07,30333000,GOOGL
2025-04-11,152.9,157.14,33636239,GOOGL
2025-04-10,156.54,152.82,48022000,GOOGL
2025-04-09,144.42,158.71,70406232,GOOGL
2025-04-08,151.22,144.7,52200208,GOOGL
2025-04-07,141.55,146.75,76794136,GOOGL
2025-04-04,148.01,145.6,62259539,GOOGL
2025-04-03,151.11,150.72,46883400,GOOGL
2025-04-02,155.15,157.04,25041730,GOOGL
2025-04-01,153.62,157.07,30672900,GOOGL
2025-03-31,153.11,154.64,54603500,GOOGL
2025-03-28,160.49,154.33,48669335,GOOGL
2025-03-27,164.63,162.24,24508300,GOOGL
2025-03-26,169.0,165.06,28939326,GOOGL
2025-03-25,168.98,170.56,24174400,GOOGL
2025-03-24,167.07,167.68,30879129,GOOGL
2025-03-21,161.21,163.99,36625800,GOOGL
2025-03-20,161.57,162.8,28138500,GOOGL
2025-03-19,161.76,163.89,34275600,GOOGL
2025-03-18,163.68,160.67,42074800,GOOGL
2025-03-17,165.03,164.29,31184335,GOOGL
2025-03-14,163.27,165.49,31995900,GOOGL
2025-03-13,166.04,162.76,31756214,GOOGL
2025-03-12,166.58,167.11,28372400,GOOGL
2025-03-11,164.91,164.04,39587414,GOOGL
2025-03-10,168.26,165.87,43604027,GOOGL
2025-03-07,171.26,173.86,27385813,GOOGL
2025-03-06,170.53,172.35,28302000,GOOGL
2025-03-05,170.52,173.02,30954922,GOOGL
2025-03-04,166.24,170.92,45388000,GOOGL
2025-03-03,171.93,167.01,40770500,GOOGL
2025-02-28,168.68,170.28,48130600,GOOGL
2025-02-27,173.99,168.5,39991015,GOOGL
2025-02-26,175.07,172.73,35431300,GOOGL
2025-02-25,178.04,175.42,41913411,GOOGL
2025-02-24,181.99,179.25,29854206,GOOGL
2025-02-21,185.15,179.66,35199239,GOOGL
2025-02-20,184.8,184.56,20441500,GOOGL
2025-02-19,184.07,185.27,19549400,GOOGL
2025-02-18,185.6,183.77,29916700,GOOGL
2025-02-14,185.06,185.23,20448437,GOOGL
2025-02-13,184.32,186.14,21402523,GOOGL
2025-02-12,183.22,183.61,22072600,GOOGL
2025-02-11,185.03,185.32,21239519,GOOGL
2025-02-10,187.35,186.47,23105649,GOOGL
2025-02-07,191.05,185.34,49315000,GOOGL
2025-02-06,189.5,191.6,29297442,GOOGL
2025-02-05,191.07,191.33,70461770,GOOGL
2025-05-01,190.63,189.0,28493459,AMZN
2025-04-30,182.17,184.42,52139088,AMZN
2025-04-29,183.99,187.39,41667300,AMZN
2025-04-28,190.11,187.7,33224732,AMZN
2025-04-25,187.62,188.99,36414330,AMZN
2025-04-24,180.92,186.54,43763200,AMZN
2025-04-23,183.45,180.6,63470149,AMZN
2025-04-22,169.85,173.18,56607202,AMZN
2025-04-21,169.6,167.32,48126111,AMZN
2025-04-17,176.0,172.61,44726453,AMZN
2025-04-16,176.29,174.33,51875316,AMZN
2025-04-15,181.41,179.59,43642000,AMZN
2025-04-14,186.84,182.12,48002540,AMZN
2025-04-11,179.93,184.87,50594339,AMZN
2025-04-10,185.44,181.22,68302045,AMZN
2025-04-09,172.12,191.1,116804328,AMZN
2025-04-08,185.23,170.66,87710400,AMZN
2025-04-07,162.0,175.26,109327115,AMZN
2025-04-04,167.15,171.0,123159400,AMZN
2025-04-03,183.0,178.41,95553617,AMZN
2025-04-02,187.66,196.01,53679200,AMZN
2025-04-01,187.86,192.17,41267315,AMZN
2025-03-31,188.19,190.26,63547600,AMZN
2025-03-28,198.42,192.72,52548226,AMZN
2025-03-27,200.89,201.36,27317700,AMZN
2025-03-26,205.84,201.13,32991000,AMZN
2025-03-25,203.6,205.71,31171200,AMZN
2025-03-24,200.0,203.26,41625400,AMZN
2025-03-21,192.9,196.21,60056917,AMZN
2025-03-20,193.07,194.95,38921113,AMZN
2025-03-19,193.38,195.54,39442900,AMZN
2025-03-18,192.52,192.82,40414900,AMZN
2025-03-17,198.77,195.74,47341800,AMZN
2025-03-14,197.41,197.95,38096700,AMZN
2025-03-13,198.17,193.89,41270800,AMZN
2025-03-12,200.72,198.89,43679300,AMZN
2025-03-11,193.9,196.59,54002900,AMZN
2025-03-10,195.6,194.54,62350926,AMZN
2025-03-07,199.49,199.25,59802821,AMZN
2025-03-06,204.4,200.7,49863800,AMZN
2025-03-05,204.8,208.36,38610100,AMZN
2025-03-04,200.11,203.8,60853100,AMZN
2025-03-03,213.35,205.02,42948447,AMZN
2025-02-28,208.65,212.28,51771737,AMZN
2025-02-27,218.35,208.74,40548600,AMZN
2025-02-26,214.94,214.35,39120603,AMZN
2025-02-25,211.63,212.8,58958000,AMZN
2025-02-24,217.45,212.71,42387600,AMZN
2025-02-21,223.28,216.58,55323900,AMZN
2025-02-20,224.78,222.88,30001700,AMZN
2025-02-19,225.52,226.63,28566709,AMZN
2025-02-18,228.82,226.65,42975133,AMZN
2025-02-14,229.2,228.68,27031100,AMZN
2025-02-13,228.85,230.37,31346512,AMZN
2025-02-12,230.46,228.93,32285249,AMZN
2025-02-11,231.92,232.76,23713726,AMZN
2025-02-10,230.55,233.14,35419926,AMZN
2025-02-07,232.5,229.15,78075433,AMZN
2025-02-06,238.01,238.83,60897100,AMZN
2025-02-05,237.02,236.17,38832042,AMZN
2025-05-01,592.075,577.0188,22370667,META
2025-04-30,538.4,549.0,25758603,META
2025-04-29,546.0,554.44,11835036,META
2025-04-28,555.64,549.74,15179000,META
2025-04-25,546.8,547.27,17098921,META
2025-04-24,518.73,533.15,13910011,META
2025-04-23,528.53,520.27,18173910,META
2025-04-22,491.87,500.28,17399408,META
2025-04-21,491.33,484.66,16166000,META
2025-04-17,505.25,501.48,14593508,META
2025-04-16,508.51,502.31,18735100,META
2025-04-15,532.11,521.52,15558700,META
2025-04-14,556.17,531.48,14130928,META
2025-04-11,535.51,543.57,17642327,META
2025-04-10,575.49,546.29,28173500,META
2025-04-09,509.27,585.77,39216600,META
2025-04-08,543.25,510.45,28034211,META
2025-04-07,485.1,516.25,36606136,META
2025-04-04,506.62,504.73,38589814,META
2025-04-03,546.22,531.62,34777500,META
2025-04-02,574.91,583.93,13470800,META
2025-04-01,570.84,586.0,12836600,META
2025-03-31,563.5,576.36,21124700,META
2025-03-28,600.31,576.74,17602823,META
2025-03-27,602.0,602.58,10436524,META
2025-03-26,624.89,610.98,12661900,META
2025-03-25,626.76,626.31,15312540,META
2025-03-24,614.97,618.85,15741300,META
2025-03-21,583.42,596.25,25015900,META
2025-03-20,582.76,586.0,24336505,META
2025-03-19,584.28,584.06,20537500,META
2025-03-18,600.05,582.36,20297708,META
2025-03-17,607.46,604.9,15473909,META
2025-03-14,602.8,607.6,12364505,META
2025-03-13,620.25,590.64,16480324,META
2025-03-12,629.9,619.56,15747000,META
2025-03-11,595.05,605.71,17401500,META
2025-03-10,608.07,597.99,21999943,META
2025-03-07,625.37,625.66,21375700,META
2025-03-06,648.0,627.93,13446500,META
2025-03-05,641.0,656.47,13770026,META
2025-03-04,645.51,640.0,21495208,META
2025-03-03,673.68,655.05,10843800,META
2025-02-28,658.04,668.2,17534200,META
2025-02-27,682.45,658.24,12500013,META
2025-02-26,659.65,673.7,14488705,META
2025-02-25,665.97,657.5,20579700,META
2025-02-24,686.28,668.13,15677000,META
2025-02-21,696.58,683.55,15660400,META
2025-02-20,697.28,694.84,12587408,META
2025-02-19,704.1,703.77,17535500,META
2025-02-18,736.0,716.37,21938703,META
2025-02-14,726.14,736.67,16901249,META
